2.644748e-05 5.403646722828546e-07 125
4.621991e-05 1.248322401026678e-06 181
7.862038e-05 2.769775558868632e-06 181
1.303549e-04 5.912706078982019e-06 125
2.109598e-04 1.217203954818739e-05 293
3.336715e-04 2.421285469313497e-05 519
5.164452e-04 4.662117794175676e-05 519
7.831212e-04 8.705337075446068e-05 293
1.164724e-03 1.578882385098717e-04 293
1.700876e-03 2.786001009217891e-04 293
2.441314e-03 4.791056150259751e-04 293
3.447473e-03 8.039735436337278e-04 181
4.794135e-03 1.318471186733779e-03 181
6.571120e-03 2.115849351262951e-03 181
8.885036e-03 3.326905246132421e-03 125
1.186108e-02 5.124028340639925e-03 125
1.564497e-02 7.767125873195096e-03 125
2.040496e-02 1.156833727534808e-02 125
2.633418e-02 1.694711027735349e-02 192
3.365326e-02 2.442333962272176e-02 224
4.261337e-02 3.474190157725826e-02 208
5.349999e-02 4.878130520044592e-02 172
6.663742e-02 6.772175970019683e-02 180
8.239437e-02 9.232663829470076e-02 352
1.011909e-01 1.246607751394393e-01 248
1.235069e-01 1.662783887238760e-01 296
1.498932e-01 2.190403378735034e-01 248
1.809841e-01 2.848472174378136e-01 352
2.175149e-01 3.654037178498881e-01 336
2.603415e-01 4.618524954085723e-01 250
3.104670e-01 5.742055003741398e-01 250
3.690727e-01 7.005127858025514e-01 428
4.375585e-01 8.356388662433190e-01 362
5.175930e-01 9.693291721072324e-01 288
6.111759e-01 1.034019616291525e+00 268
7.207174e-01 1.028780629821905e+00 160
8.491388e-01 1.018395125407855e+00 136
1.000000e+00 9.996475674219302e-01 91
1.177664e+00 9.641068165224829e-01 91
1.387506e+00 9.032497561966833e-01 75
1.636190e+00 8.128725345774455e-01 59
1.932020e+00 6.978504344416258e-01 59
2.285409e+00 5.716085212175064e-01 59
2.709494e+00 4.453771629475837e-01 59
3.220954e+00 3.244120291296954e-01 59
3.841108e+00 2.147591620244468e-01 59
4.597387e+00 1.243274549283138e-01 59
5.525347e+00 6.018092653181737e-02 59
6.671419e+00 2.374831699931159e-02 59
8.096711e+00 8.086206898475301e-03 59
9.882313e+00 2.778166115429908e-03 59
1.213675e+01 1.061744015650460e-03 59
1.500658e+01 4.377018714984584e-04 59
1.869159e+01 1.855550242332841e-04 59
2.346681e+01 7.905963628971544e-05 59
2.971480e+01 3.339845527385964e-05 67
3.797346e+01 1.383511626404023e-05 67
4.900770e+01 5.583464171376399e-06 67
6.391832e+01 2.183691575176453e-06 67
8.430933e+01 8.239748013754841e-07 67
1.125488e+02 2.987709224214701e-07 67
1.521811e+02 1.037332578622861e-07 67
2.085882e+02 3.436987840445525e-08 67
2.900675e+02 1.083111749822525e-08 67
4.096155e+02 3.235601063967685e-09 67
5.879324e+02 9.131615463293141e-10 67
8.585729e+02 2.426227380373739e-10 67
1.276942e+03 6.046854466091578e-11 67
1.936314e+03 1.408311980390571e-11 67
2.996960e+03 3.052948060168915e-12 67
4.740239e+03 6.134665262099547e-13 67
7.671368e+03 1.137686284880984e-13 67
1.271935e+04 1.938385737461064e-14 67
2.163570e+04 3.019462084134647e-15 67
3.781079e+04 4.279093869251120e-16 67
6.799168e+04 5.487390375206146e-17 67
